c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
85,CASANARE,85230,OROCUE,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,145,145,617,4.26,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
85,CASANARE,85162,MONTERREY,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,130,130,553,4.26,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
19,CAUCA,19300,GUACHENE,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,23,23,138,6.0,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
20,CESAR,20770,SAN MARTIN,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,290,290,1362,4.7,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
20,CESAR,20710,SAN ALBERTO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,138,138,711,5.15,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
20,CESAR,20383,LA GLORIA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,12,12,51,4.24,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
23,CORDOBA,23068,AYAPEL,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,1800,700,3360,4.8,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
23,CORDOBA,23570,PUEBLO NUEVO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,950,930,4650,5.0,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
23,CORDOBA,23660,SAHAGUN,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,550,343,1372,4.0,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
23,CORDOBA,23675,SAN BERNARDO DEL VIENTO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MECANIZADO,2011,2011A,550,540,1890,3.5,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
