c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
17,CALDAS,17388,LA MERCED,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,14,14,14,1.0,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17616,RISARALDA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,10,10,15,1.5,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17653,SALAMINA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,10,7,11,1.6,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17446,MARULANDA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,9,7,7,1.05,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17272,FILADELFIA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,8,7,13,1.8,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17665,SAN JOSE,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,6,2,1,0.4,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17873,VILLAMARIA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,6,6,7,1.2,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17088,BELALCAZAR,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,5,5,7,1.6,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17513,PACORA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,4,4,8,2.0,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17433,MANZANARES,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,3,3,3,1.0,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17777,SUPIA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,3,3,7,2.45,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
17,CALDAS,17174,CHINCHINA,LEGUMINOSAS,FRIJOL,FRIJOL,FRIJOL,2016,2016B,2,2,5,2.5,GRANO SECO,PHASEOLUS VULGARIS,TRANSITORIO
