c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
41,HUILA,41615,RIVERA,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,91,82,656,8.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41132,CAMPOALEGRE,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,12,8,60,7.5,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41001,NEIVA,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,12,8,64,8.5,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41306,GIGANTE,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,8,8,64,8.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41206,COLOMBIA,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,8,7,55,8.5,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41524,PALERMO,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,6,6,54,9.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41020,ALGECIRAS,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,5,5,48,9.5,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41078,BARAYA,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,5,4,36,9.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41026,ALTAMIRA,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,3,2,14,9.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
41,HUILA,41801,TERUEL,FRUTALES,FRUTALES EXOTICOS,CHOLUPA,CHOLUPA,2013,2013,3,3,20,8.0,FRUTO FRESCO,PASIFLORA ALIFORMIS,PERMANENTE
