c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
5,ANTIOQUIA,5284,FRONTINO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,8,8,40,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
5,ANTIOQUIA,5308,GIRARDOTA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,7,7,254,39.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
5,ANTIOQUIA,5138,CAÑASGORDAS,FRUTALES,BANANO,BANANO,BANANO,2018,2018,5,5,25,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
5,ANTIOQUIA,5059,ARMENIA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,1,1,5,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
15,BOYACA,15816,TOGUI,FRUTALES,BANANO,BANANO,BANANO,2018,2018,363,348,2262,6.5,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
15,BOYACA,15469,MONIQUIRA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,154,151,1812,12.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
15,BOYACA,15621,RONDON,FRUTALES,BANANO,BANANO,BANANO,2018,2018,61,57,211,3.7,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
15,BOYACA,15377,LABRANZAGRANDE,FRUTALES,BANANO,BANANO,BANANO,2018,2018,60,53,212,4.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
15,BOYACA,15518,PAJARITO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,60,53,212,4.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17013,AGUADAS,FRUTALES,BANANO,BANANO,BANANO,2018,2018,270,260,2080,8.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17486,NEIRA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,188,188,5048,26.85,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17001,MANIZALES,FRUTALES,BANANO,BANANO,BANANO,2018,2018,172,152,1520,10.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17614,RIOSUCIO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,65,58,2320,40.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17442,MARMATO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,30,30,300,10.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
17,CALDAS,17877,VITERBO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,3,1,12,24.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
85,CASANARE,85400,TAMARA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,256,234,6318,27.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
19,CAUCA,19256,EL TAMBO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,357,357,1428,4.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
19,CAUCA,19418,LOPEZ DE MICAY,FRUTALES,BANANO,BANANO,BANANO,2018,2018,99,85,595,7.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
19,CAUCA,19455,MIRANDA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,21,21,157,7.5,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
19,CAUCA,19845,VILLA RICA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,3,2,10,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
20,CESAR,20001,VALLEDUPAR,FRUTALES,BANANO,BANANO,BANANO,2018,2018,75,5,25,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27495,NUQUI,FRUTALES,BANANO,BANANO,BANANO,2018,2018,521,490,1960,4.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27001,QUIBDO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,410,400,2000,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27450,MEDIO SAN JUAN,FRUTALES,BANANO,BANANO,BANANO,2018,2018,395,135,1080,8.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27491,NOVITA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,310,290,1450,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27580,RIO IRO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,295,280,560,2.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27025,ALTO BAUDO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,270,233,1165,5.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27615,RIOSUCIO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,245,245,1960,8.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27150,CARMEN DEL DARIEN,FRUTALES,BANANO,BANANO,BANANO,2018,2018,112,112,762,6.8,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27250,LITORAL DEL SAN JUAN,FRUTALES,BANANO,BANANO,BANANO,2018,2018,103,98,392,4.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27810,UNION PANAMERICANA,FRUTALES,BANANO,BANANO,BANANO,2018,2018,77,67,288,4.3,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27425,MEDIO ATRATO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,64,59,354,6.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27787,TADO,FRUTALES,BANANO,BANANO,BANANO,2018,2018,44,32,64,2.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27660,SAN JOSE DEL PALMAR,FRUTALES,BANANO,BANANO,BANANO,2018,2018,25,15,270,18.0,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
27,CHOCO,27160,CERTEGUI,FRUTALES,BANANO,BANANO,BANANO,2018,2018,18,18,99,5.5,FRUTO FRESCO,MUSA PARADISIACA,PERMANENTE
