c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
54,NORTE DE SANTANDER,54520,PAMPLONITA,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,55,50,250,5.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
54,NORTE DE SANTANDER,54174,CHITAGA,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,38,28,196,7.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
54,NORTE DE SANTANDER,54673,SAN CAYETANO,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,27,21,120,5.7,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
54,NORTE DE SANTANDER,54405,LOS PATIOS,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,27,27,225,8.5,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,10,9,51,6.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,8,8,48,6.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86571,PUERTO GUZMAN,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,1800,1700,16320,9.6,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,1300,1000,6300,6.3,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86320,ORITO,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,900,865,7041,8.14,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86568,PUERTO ASIS,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,340,300,1800,6.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,320,300,1500,5.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86001,MOCOA,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,300,290,1450,5.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86885,VILLAGARZON,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,289,200,1176,5.88,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86569,PUERTO CAICEDO,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,260,210,1260,6.0,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
86,PUTUMAYO,86757,SAN MIGUEL,TUBERCULOS Y PLATANOS,PLATANO,PLATANO,PLATANO,2013,2013,180,140,737,5.26,FRUTO FRESCO,MUSA X PARADISIACA,PERMANENTE
