c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
41,HUILA,41668,SAN AGUSTIN,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,6,4,28,7.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
41,HUILA,41001,NEIVA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,5,5,35,7.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
41,HUILA,41020,ALGECIRAS,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,4,4,26,6.5,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
41,HUILA,41359,ISNOS,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,2,1,7,6.5,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
41,HUILA,41206,COLOMBIA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,1,1,6,6.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
41,HUILA,41306,GIGANTE,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,1,1,6,6.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52838,TUQUERRES,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,2880,2880,63360,22.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52001,PASTO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,2000,1900,38000,20.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52506,OSPINA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,1350,1350,28350,21.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52356,IPIALES,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,1200,1000,18000,18.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52585,PUPIALES,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,700,700,12600,18.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52560,POTOSI,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,610,604,15100,25.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52323,GUALMATAN,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,550,550,9900,18.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52352,ILES,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,490,485,7760,16.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52224,CUASPUD,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,430,420,10500,25.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52022,ALDANA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,400,400,7000,17.5,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52317,GUACHUCAL,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,400,388,6984,18.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52227,CUMBAL,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,350,340,6120,18.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52320,GUAITARILLA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,350,350,5775,16.5,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52210,CONTADERO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,220,220,5500,25.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52885,YACUANQUER,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,200,200,3400,17.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52565,PROVIDENCIA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,170,166,3320,20.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
52,NARIÑO,52678,SAMANIEGO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,2014,2014B,100,70,1400,20.0,TUBERCULO FRESCO,SOLANUM TUBEROSUM,TRANSITORIO
