c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
73,TOLIMA,73217,COYAIMA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,40,36,180,5.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
73,TOLIMA,73585,PURIFICACION,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,18,18,90,5.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76100,BOLIVAR,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,240,240,2400,10.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76622,ROLDANILLO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,186,173,2076,12.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76823,TORO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,110,108,1296,12.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76403,LA VICTORIA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,27,6,108,18.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76364,JAMUNDI,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,22,19,133,7.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76892,YUMBO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,18,16,145,8.95,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76606,RESTREPO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,18,18,144,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76890,YOTOCO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,18,18,360,20.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76001,CALI,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,17,5,75,15.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76109,BUENAVENTURA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,16,16,181,11.3,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76828,TRUJILLO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,16,10,80,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76130,CANDELARIA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,15,13,418,33.4,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76275,FLORIDA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,11,9,90,10.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76520,PALMIRA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,10,9,99,11.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,9,9,108,12.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76895,ZARZAL,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,6,6,185,33.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76126,CALIMA EL DARIEN,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,5,5,50,10.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76233,DAGUA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,5,5,45,9.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76616,RIOFRIO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,5,3,24,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76147,CARTAGO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,4,4,40,10.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,1,1,4,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
99,VICHADA,99773,CUMARIBO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2013,2013,75,75,750,10.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5197,COCORNA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,230,230,1840,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5148,CARMEN DE VIBORAL,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,115,115,863,7.5,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5819,TOLEDO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,26,26,104,4.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,25,25,75,3.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5847,URRAO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,11,11,84,8.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
5,ANTIOQUIA,5664,SAN PEDRO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,4,2,2,1.5,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
8,ATLANTICO,8675,SANTA LUCIA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,90,70,420,6.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
8,ATLANTICO,8421,LURUACO,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,87,30,120,4.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
8,ATLANTICO,8141,CANDELARIA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,83,0,0,,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
8,ATLANTICO,8638,SABANALARGA,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,75,75,525,7.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
8,ATLANTICO,8606,REPELON,FRUTALES,GUAYABA,GUAYABA,GUAYABA,2014,2014,74,39,585,15.0,FRUTO FRESCO,PSIDIUM GUAJAVA,PERMANENTE
