c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
70,SUCRE,70717,SAN PEDRO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,30,30,12,0.4,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70742,SINCE,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,30,30,15,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70215,COROZAL,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,20,20,14,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70400,LA UNION,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,20,20,5,0.25,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70001,SINCELEJO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,20,20,14,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70204,COLOSO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,17,16,10,0.63,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70523,PALMITO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,15,15,8,0.53,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70702,SAN JUAN DE BETULIA,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,15,15,12,0.8,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70678,SAN BENITO ABAD,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,8,8,5,0.63,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70418,LOS PALMITOS,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,6,6,3,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70233,EL ROBLE,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,5,5,2,0.4,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70823,TOLUVIEJO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,5,5,3,0.6,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70230,CHALAN,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,3,3,2,0.67,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70221,COVEÑAS,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,3,2,2,0.75,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
73,TOLIMA,73319,GUAMO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2008,2008B,160,135,128,0.95,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
13,BOLIVAR,13212,CORDOBA,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,1300,650,455,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
95,GUAVIARE,95200,MIRAFLORES,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,30,30,6,0.2,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
47,MAGDALENA,47258,EL PIÑON,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,33,30,21,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
70,SUCRE,70230,CHALAN,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,2,2,1,0.4,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
73,TOLIMA,73319,GUAMO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,195,195,98,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
73,TOLIMA,73678,SAN LUIS,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,78,78,39,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
73,TOLIMA,73217,COYAIMA,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009A,10,10,13,1.3,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
8,ATLANTICO,8549,PIOJO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,30,30,15,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
8,ATLANTICO,8606,REPELON,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,3,3,2,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
8,ATLANTICO,8849,USIACURI,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,1,0,0,0.5,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
13,BOLIVAR,13212,CORDOBA,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,1300,650,455,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,250,250,200,0.8,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
23,CORDOBA,23660,SAHAGUN,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,150,120,84,0.7,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
23,CORDOBA,23182,CHINU,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,142,142,142,1.0,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
23,CORDOBA,23670,SAN ANDRES DE SOTAVENTO,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,45,45,45,1.0,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
23,CORDOBA,23079,BUENAVISTA,OLEAGINOSAS,AJONJOLI,AJONJOLI,AJONJOLI,2009,2009B,15,15,12,0.8,GRANO SECO,SESAMUN INDICUM,TRANSITORIO
