c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
54,Norte de Santander,54480,Mutiscua,Hortalizas,Hortalizas de hoja,Repollo,Repollo,2022,2022B,4.0,4.0,120.0,30.0,Transitorio,En fresco,1052800,Brassica oleracea var. capitata
54,Norte de Santander,54480,Mutiscua,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2022,2022B,40.0,40.0,880.0,22.0,Transitorio,En fresco,1053000,Daucus carota
54,Norte de Santander,54480,Mutiscua,Raíces y tubérculos,Raíces y tubérculos,Arracacha,Arracacha,2022,2022B,20.0,20.0,440.0,22.0,Transitorio,En fresco,1080200,Arracacia xanthorrhiza
54,Norte de Santander,54480,Mutiscua,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2022,2022B,50.0,55.0,1210.0,22.0,Transitorio,En fresco,1080701,Solanum tuberosum
54,Norte de Santander,54480,Mutiscua,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa criolla,2022,2022B,90.0,90.0,2160.0,24.0,Transitorio,En fresco,1080702,Solanum phureja
54,Norte de Santander,54498,Ocaña,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2022,2022,85.0,55.0,440.0,8.0,Permanente,En fresco,2040299,Persea americana
54,Norte de Santander,54498,Ocaña,Frutales,Solanáceas,Lulo,Lulo,2022,2022,8.0,6.0,60.0,10.0,Permanente,En fresco,2043700,Solanum quitoense
54,Norte de Santander,54498,Ocaña,Frutales,Pasifloráceas,Maracuyá,Maracuyá,2022,2022,8.0,3.0,30.0,10.0,Permanente,En fresco,2044500,Passiflora edulis
54,Norte de Santander,54498,Ocaña,Frutales,Cítricos,Naranja,Naranja Valencia,2022,2022,16.0,16.0,160.0,10.0,Permanente,En fresco,2044903,Citrus x aurantium
54,Norte de Santander,54498,Ocaña,Frutales,Demás frutales,Papaya,"Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2022,2022,16.0,11.0,165.0,15.0,Permanente,En fresco,2045301,Carica papaya
54,Norte de Santander,54498,Ocaña,Frutales,Demás frutales,Piña,Piña demás variedades,2022,2022,15.0,13.0,390.0,30.0,Permanente,En fresco,2045699,Ananas comosus
54,Norte de Santander,54498,Ocaña,Frutales,Demás frutales,Plátano,Plátano consumo interno,2022,2022,138.0,98.0,784.0,8.0,Permanente,En fresco,2045802,Musa x paradisiaca
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Ají,Ají,2022,2022A,60.0,116.0,580.0,5.0,Transitorio,En fresco,1050300,Capsicum L.
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2022,2022A,80.0,160.0,3200.0,20.0,Transitorio,En fresco,1051100,Allium cepa
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2022,2022A,500.0,527.0,7905.0,15.0,Transitorio,En fresco,1051200,Allium fistulosum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de hoja,Cilantro,Cilantro,2022,2022A,120.0,180.0,1800.0,10.0,Transitorio,En fresco,1051300,Coriandrum sativum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Pepino Cohombro,Pepino cohombro,2022,2022A,120.0,154.0,3850.0,25.0,Transitorio,En fresco,1052300,Cucumis sativus
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Pimentón,Pimentón,2022,2022A,30.0,33.0,594.0,18.0,Transitorio,En fresco,1052500,Capsicum annuum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de hoja,Repollo,Repollo,2022,2022A,10.0,14.0,168.0,12.0,Transitorio,En fresco,1052800,Brassica oleracea var. capitata
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2022,2022A,120.0,174.0,8352.0,48.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
54,Norte de Santander,54498,Ocaña,Leguminosas,Leguminosas,Habichuela,Habichuela,2022,2022A,70.0,75.0,600.0,8.0,Transitorio,En fresco,1060600,Phaseolus vulgaris ‘habichuela’
54,Norte de Santander,54498,Ocaña,Raíces y tubérculos,Raíces y tubérculos,Arracacha,Arracacha,2022,2022A,90.0,90.0,1170.0,13.0,Transitorio,En fresco,1080200,Arracacia xanthorrhiza
54,Norte de Santander,54498,Ocaña,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022A,250.0,250.0,3500.0,14.0,Transitorio,En fresco,1081001,Manihot esculenta
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Ají,Ají,2022,2022B,80.0,40.0,200.0,5.0,Transitorio,En fresco,1050300,Capsicum L.
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2022,2022B,70.0,30.0,600.0,20.0,Transitorio,En fresco,1051100,Allium cepa
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2022,2022B,400.0,385.0,5775.0,15.0,Transitorio,En fresco,1051200,Allium fistulosum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de hoja,Cilantro,Cilantro,2022,2022B,120.0,60.0,600.0,10.0,Transitorio,En fresco,1051300,Coriandrum sativum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Pepino Cohombro,Pepino cohombro,2022,2022B,120.0,60.0,1500.0,25.0,Transitorio,En fresco,1052300,Cucumis sativus
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Pimentón,Pimentón,2022,2022B,60.0,25.0,450.0,18.0,Transitorio,En fresco,1052500,Capsicum annuum
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de hoja,Repollo,Repollo,2022,2022B,20.0,13.0,156.0,12.0,Transitorio,En fresco,1052800,Brassica oleracea var. capitata
54,Norte de Santander,54498,Ocaña,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2022,2022B,90.0,108.0,5184.0,48.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
54,Norte de Santander,54498,Ocaña,Leguminosas,Leguminosas,Habichuela,Habichuela,2022,2022B,30.0,31.5,252.0,8.0,Transitorio,En fresco,1060600,Phaseolus vulgaris ‘habichuela’
54,Norte de Santander,54518,Pamplona,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2022,2022,2.0,2.0,16.0,8.0,Permanente,En fresco,2040299,Persea americana
54,Norte de Santander,54518,Pamplona,Frutales,Demás frutales,Brevo,Brevo,2022,2022,4.0,4.0,20.0,5.0,Permanente,En fresco,2041100,Ficus carica
54,Norte de Santander,54518,Pamplona,Frutales,Caducifolios,Ciruela,Ciruela,2022,2022,9.0,9.0,72.0,8.0,Permanente,En fresco,2041800,Prunus domestica
54,Norte de Santander,54518,Pamplona,Frutales,Pasifloráceas,Curuba,Curuba,2022,2022,37.0,34.0,408.0,12.0,Permanente,En fresco,2042200,Passiflora mollissima
54,Norte de Santander,54518,Pamplona,Frutales,Caducifolios,Durazno o albaricoque,Durazno o albaricoque,2022,2022,40.0,40.0,400.0,10.0,Permanente,En fresco,2042400,Prunus persica L.
54,Norte de Santander,54518,Pamplona,Frutales,Mirtáceas,Feijoa,Feijoa,2022,2022,2.0,2.0,6.0,3.0,Permanente,En fresco,2042500,Feijoa sellowiana
54,Norte de Santander,54518,Pamplona,Frutales,Demás frutales,Fresa,Fresa,2022,2022,44.0,42.0,1428.0,34.0,Permanente,En fresco,2042700,Fragaria vesca
54,Norte de Santander,54518,Pamplona,Frutales,Pasifloráceas,Granadilla,Granadilla,2022,2022,11.5,10.5,84.0,8.0,Permanente,En fresco,2042800,Passiflora ligularis
54,Norte de Santander,54518,Pamplona,Frutales,Solanáceas,Lulo,Lulo,2022,2022,16.0,15.0,150.0,10.0,Permanente,En fresco,2043700,Solanum quitoense
54,Norte de Santander,54518,Pamplona,Frutales,Demás frutales,Mora,Mora,2022,2022,147.0,137.0,1233.0,9.0,Permanente,En fresco,2044700,Rubus glaucus Benth.
54,Norte de Santander,54518,Pamplona,Frutales,Solanáceas,Tomate de árbol,Tomate de árbol,2022,2022,19.0,17.0,170.0,10.0,Permanente,En fresco,2046300,Solanum betaceum
54,Norte de Santander,54518,Pamplona,Frutales,Solanáceas,Uchuva,Uchuva,2022,2022,26.0,21.0,210.0,10.0,Permanente,En fresco,2046500,Physalis peruviana
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de raíz,Ajo,Ajo,2022,2022A,5.0,4.0,36.0,9.0,Transitorio,En fresco,1050400,Allium sativum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de flor,Brócoli,Brócoli,2022,2022A,4.0,4.0,48.0,12.0,Transitorio,En fresco,1050900,Brassica oleracea var. Italica
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2022,2022A,5.0,5.0,70.0,14.0,Transitorio,En fresco,1051100,Allium cepa
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2022,2022A,5.0,5.0,125.0,25.0,Transitorio,En fresco,1051200,Allium fistulosum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de hoja,Cilantro,Cilantro,2022,2022A,8.0,7.0,70.0,10.0,Transitorio,En fresco,1051300,Coriandrum sativum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de hoja,Lechuga,Lechuga,2022,2022A,3.0,3.0,60.0,20.0,Transitorio,En fresco,1051900,Lactuca sativa
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de hoja,Repollo,Repollo,2022,2022A,7.0,7.0,133.0,19.0,Transitorio,En fresco,1052800,Brassica oleracea var. capitata
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2022,2022A,21.0,20.0,440.0,22.0,Transitorio,En fresco,1053000,Daucus carota
54,Norte de Santander,54518,Pamplona,Raíces y tubérculos,Raíces y tubérculos,Arracacha,Arracacha,2022,2022A,35.0,34.0,340.0,10.0,Transitorio,En fresco,1080200,Arracacia xanthorrhiza
54,Norte de Santander,54518,Pamplona,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2022,2022A,160.0,146.0,2190.0,15.0,Transitorio,En fresco,1080701,Solanum tuberosum
54,Norte de Santander,54518,Pamplona,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa criolla,2022,2022A,100.0,97.0,1261.0,13.0,Transitorio,En fresco,1080702,Solanum phureja
54,Norte de Santander,54518,Pamplona,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022A,6.0,6.0,54.0,9.0,Transitorio,En fresco,1081001,Manihot esculenta
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de raíz,Ajo,Ajo,2022,2022B,4.0,4.0,36.0,9.0,Transitorio,En fresco,1050400,Allium sativum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de flor,Brócoli,Brócoli,2022,2022B,5.0,5.0,60.0,12.0,Transitorio,En fresco,1050900,Brassica oleracea var. Italica
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2022,2022B,4.0,4.0,56.0,14.0,Transitorio,En fresco,1051100,Allium cepa
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2022,2022B,6.0,6.0,150.0,25.0,Transitorio,En fresco,1051200,Allium fistulosum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de hoja,Cilantro,Cilantro,2022,2022B,6.0,5.0,50.0,10.0,Transitorio,En fresco,1051300,Coriandrum sativum
54,Norte de Santander,54518,Pamplona,Hortalizas,Hortalizas de hoja,Lechuga,Lechuga,2022,2022B,3.0,3.0,60.0,20.0,Transitorio,En fresco,1051900,Lactuca sativa
