c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
68,Santander,68524,Palmas del Socorro,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,8.0,8.0,16.78,2.1,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68533,Páramo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Cacao,Cacao,2022,2022,166.0,151.0,120.8,0.8,Permanente,Grano seco,2030200,Theobrama cacao
68,Santander,68533,Páramo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,2548.1,1926.23,2231.33,1.16,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
68,Santander,68533,Páramo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Caña,Caña panelera,2022,2022,900.0,900.0,99000.0,110.0,Permanente,Caña o verde,2030402,Saccharum officinarum
68,Santander,68533,Páramo,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022A,120.0,36.0,72.0,2.0,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68533,Páramo,Leguminosas,Leguminosas,Arveja,Arveja,2022,2022A,130.0,130.0,260.0,2.0,Transitorio,Grano,1060100,Pisum sativum
68,Santander,68533,Páramo,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022A,50.0,50.0,100.0,2.0,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68533,Páramo,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,30.0,100.0,180.0,1.8,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68533,Páramo,Leguminosas,Leguminosas,Arveja,Arveja,2022,2022B,30.0,29.5,59.0,2.0,Transitorio,Grano,1060100,Pisum sativum
68,Santander,68547,Piedecuesta,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Cacao,Cacao,2022,2022,209.0,209.0,167.2,0.8,Permanente,Grano seco,2030200,Theobrama cacao
68,Santander,68547,Piedecuesta,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,968.53,810.12,653.43,0.81,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
68,Santander,68547,Piedecuesta,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Caña,Caña panelera,2022,2022,25.0,25.0,2250.0,90.0,Permanente,Caña o verde,2030402,Saccharum officinarum
68,Santander,68547,Piedecuesta,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022A,35.0,34.0,40.8,1.2,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68547,Piedecuesta,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022A,17.0,23.0,27.6,1.2,Transitorio,Grano seco,1010404,Zea mays
68,Santander,68547,Piedecuesta,Leguminosas,Leguminosas,Arveja,Arveja,2022,2022A,80.0,30.0,30.0,1.0,Transitorio,Grano,1060100,Pisum sativum
68,Santander,68547,Piedecuesta,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022A,40.0,30.0,45.0,1.5,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68547,Piedecuesta,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,40.0,39.5,47.4,1.2,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68547,Piedecuesta,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022B,24.0,17.0,20.4,1.2,Transitorio,Grano seco,1010404,Zea mays
68,Santander,68547,Piedecuesta,Leguminosas,Leguminosas,Arveja,Arveja,2022,2022B,55.0,75.0,75.0,1.0,Transitorio,Grano,1060100,Pisum sativum
68,Santander,68547,Piedecuesta,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,45.0,30.0,45.0,1.5,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68549,Pinchote,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,1856.94,1534.73,1741.01,1.13,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
68,Santander,68549,Pinchote,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022A,120.0,20.0,92.0,4.6,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68549,Pinchote,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022A,25.0,10.0,40.0,4.0,Transitorio,Grano seco,1010404,Zea mays
68,Santander,68549,Pinchote,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022A,20.0,18.0,42.8,2.38,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68549,Pinchote,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,19.0,120.0,540.0,4.5,Transitorio,Grano seco,1010402,Zea mays
68,Santander,68549,Pinchote,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022B,8.0,25.0,100.0,4.0,Transitorio,Grano seco,1010404,Zea mays
68,Santander,68549,Pinchote,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,6.0,5.0,12.24,2.45,Transitorio,Grano seco,1060200,Phaseolus vulgaris
68,Santander,68572,Puente Nacional,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,1098.61,903.08,1103.25,1.22,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
68,Santander,68572,Puente Nacional,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Caña,Caña panelera,2022,2022,35.0,35.0,3150.0,90.0,Permanente,Caña o verde,2030402,Saccharum officinarum
