c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
8,Atlántico,8606,Repelón,Frutales,Mirtáceas,Guayaba,Guayaba,2022,2022,59.0,59.0,354.0,6.0,Permanente,En fresco,2043000,Psidium guajava
8,Atlántico,8606,Repelón,Frutales,Cítricos,Limón,Limón Tahití,2022,2022,13.4,0.0,0.0,0.0,Permanente,En fresco,2043603,Citrus limon
8,Atlántico,8606,Repelón,Frutales,Cítricos,Limón,Limón demás variedades,2022,2022,58.0,58.0,696.0,12.0,Permanente,En fresco,2043699,Citrus limon
8,Atlántico,8606,Repelón,Frutales,Demás frutales,Mango,Mango demás variedades,2022,2022,71.0,65.0,1300.0,20.0,Permanente,En fresco,2044299,Mangifera indica
8,Atlántico,8606,Repelón,Frutales,Cítricos,Naranja,Naranja Jaffa,2022,2022,13.0,13.0,130.0,10.0,Permanente,En fresco,2044901,Citrus x aurantium
8,Atlántico,8606,Repelón,Frutales,Demás frutales,Papaya,Papaya demás variedades,2022,2022,31.0,21.0,630.0,30.0,Permanente,En fresco,2045399,Carica papaya
8,Atlántico,8606,Repelón,Frutales,Demás frutales,Plátano,Plátano consumo interno,2022,2022,215.0,185.0,2220.0,12.0,Permanente,En fresco,2045802,Musa x paradisiaca
8,Atlántico,8606,Repelón,Cereales,Cereales,Sorgo,Sorgo,2022,2022A,0.0,58.0,58.0,1.0,Transitorio,En fresco,1010700,Sorghum bicolor
8,Atlántico,8606,Repelón,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2022,2022A,57.0,66.0,528.0,8.0,Transitorio,En fresco,1050200,Cucurbita maxima
8,Atlántico,8606,Repelón,Hortalizas,Hortalizas de fruto,Ají,Ají,2022,2022A,11.0,3.0,6.0,2.0,Transitorio,En fresco,1050300,Capsicum L.
8,Atlántico,8606,Repelón,Hortalizas,Hortalizas de fruto,Melón,Melón,2022,2022A,71.0,71.0,2343.0,33.0,Transitorio,En fresco,1052000,Cucumis melo
8,Atlántico,8606,Repelón,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2022,2022A,0.0,31.0,713.0,23.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
8,Atlántico,8606,Repelón,Raíces y tubérculos,Raíces y tubérculos,Ñame,Ñame Espino,2022,2022A,415.0,90.0,1080.0,12.0,Transitorio,En fresco,1080602,Dioscorea sp.
8,Atlántico,8606,Repelón,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022A,780.0,480.0,4800.0,10.0,Transitorio,En fresco,1081001,Manihot esculenta
