c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
52,Nariño,52258,El Tablón de Gómez,Leguminosas,Leguminosas,Haba,Haba,2021,2021A,3.0,2.7,4.32,1.6,Transitorio,Grano seco,1060500,Vicia faba
52,Nariño,52260,El Tambo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,897.12,788.82,804.6,1.02,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
52,Nariño,52260,El Tambo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Caña,Caña panelera,2021,2021,970.0,970.0,67900.0,70.0,Permanente,Caña o verde,2030402,Saccharum officinarum
52,Nariño,52260,El Tambo,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Fique,Fique,2021,2021,1050.0,1050.0,2100.0,2.0,Permanente,Fibra o cabuya,2030500,Furcraea cabuya
52,Nariño,52260,El Tambo,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2021,2021A,345.0,345.0,345.0,1.0,Transitorio,Grano seco,1010402,Zea mays
52,Nariño,52260,El Tambo,Leguminosas,Leguminosas,Frijol,Frijol,2021,2021A,650.0,650.0,962.0,1.48,Transitorio,Grano seco,1060200,Phaseolus vulgaris
52,Nariño,52260,El Tambo,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2021,2021B,255.0,255.0,510.0,2.0,Transitorio,Grano seco,1010402,Zea mays
52,Nariño,52260,El Tambo,Leguminosas,Leguminosas,Arveja,Arveja,2021,2021B,6.0,6.0,5.61,0.94,Transitorio,Grano,1060100,Pisum sativum
52,Nariño,52260,El Tambo,Leguminosas,Leguminosas,Frijol,Frijol,2021,2021B,565.0,565.0,802.3,1.42,Transitorio,Grano seco,1060200,Phaseolus vulgaris
52,Nariño,52287,Funes,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,226.6,216.89,232.07,1.07,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
52,Nariño,52287,Funes,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2021,2021A,3.0,3.0,3.6,1.2,Transitorio,Grano seco,1010402,Zea mays
52,Nariño,52287,Funes,Cereales,Cereales,Maíz,Maíz blanco tradicional,2021,2021A,4.0,4.0,4.0,1.0,Transitorio,Grano seco,1010404,Zea mays
52,Nariño,52287,Funes,Leguminosas,Leguminosas,Arveja,Arveja,2021,2021A,170.0,150.0,480.0,3.2,Transitorio,Grano,1060100,Pisum sativum
52,Nariño,52287,Funes,Leguminosas,Leguminosas,Frijol,Frijol,2021,2021A,100.0,85.0,95.0,1.12,Transitorio,Grano seco,1060200,Phaseolus vulgaris
52,Nariño,52287,Funes,Leguminosas,Leguminosas,Arveja,Arveja,2021,2021B,150.0,150.0,735.0,4.9,Transitorio,Grano,1060100,Pisum sativum
52,Nariño,52287,Funes,Leguminosas,Leguminosas,Frijol,Frijol,2021,2021B,75.0,75.0,126.0,1.68,Transitorio,Grano seco,1060200,Phaseolus vulgaris
52,Nariño,52317,Guachucal,Leguminosas,Leguminosas,Haba,Haba,2021,2021A,22.0,21.9,87.21,3.98,Transitorio,Grano seco,1060500,Vicia faba
