c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
68,Santander,68673,San Benito,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2020,2020B,120.0,100.0,1000.0,10.0,Transitorio,En fresco,1081001,Manihot esculenta
68,Santander,68679,San Gil,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2020,2020,37.0,15.0,180.0,12.0,Permanente,En fresco,2040299,Persea americana
68,Santander,68679,San Gil,Frutales,Cítricos,Limón,Limón demás variedades,2020,2020,84.0,72.0,180.0,2.5,Permanente,En fresco,2043699,Citrus limon
68,Santander,68679,San Gil,Frutales,Cítricos,Mandarina,Mandarina demás variedades,2020,2020,420.0,415.0,33.0,0.08,Permanente,En fresco,2044199,Citrus reticulata
68,Santander,68679,San Gil,Frutales,Demás frutales,Mango,Mango demás variedades,2020,2020,11.0,10.0,15.0,1.5,Permanente,En fresco,2044299,Mangifera indica
68,Santander,68679,San Gil,Frutales,Cítricos,Naranja,Naranja Valencia,2020,2020,221.0,220.0,100.0,0.45,Permanente,En fresco,2044903,Citrus x aurantium
68,Santander,68679,San Gil,Frutales,Cítricos,Naranja,Naranja demás variedades,2020,2020,73.0,67.0,870.0,12.99,Permanente,En fresco,2044999,Citrus x aurantium
68,Santander,68679,San Gil,Frutales,Demás frutales,Piña,Piña demás variedades,2020,2020,36.0,15.0,340.0,22.67,Permanente,En fresco,2045699,Ananas comosus
68,Santander,68679,San Gil,Frutales,Demás frutales,Plátano,Plátano consumo interno,2020,2020,124.0,112.0,1000.0,8.93,Permanente,En fresco,2045802,Musa x paradisiaca
68,Santander,68679,San Gil,Frutales,Demás frutales,Uva,Uva,2020,2020,14.0,7.0,50.0,7.14,Permanente,En fresco,2046600,Vitis vinífera
68,Santander,68679,San Gil,Cereales,Cereales,Maíz,Maíz tradicional,2020,2020A,180.0,160.0,400.0,2.5,Transitorio,En fresco,1010497,Zea mays
68,Santander,68679,San Gil,Cereales,Cereales,Sorgo,Sorgo,2020,2020A,2.0,2.0,2.0,1.0,Transitorio,En fresco,1010700,Sorghum bicolor
68,Santander,68679,San Gil,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Tabaco,Tabaco,2020,2020A,50.0,40.0,40.0,1.0,Transitorio,En fresco,1030700,Nicotiana tabacum
68,Santander,68679,San Gil,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2020,2020A,10.0,7.0,84.0,12.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
68,Santander,68679,San Gil,Hortalizas,Hortalizas,Otras hortalizas,Otras hortalizas,2020,2020A,10.0,10.0,80.0,8.0,Transitorio,En fresco,1059900,No aplica
68,Santander,68679,San Gil,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2020,2020A,90.0,90.0,4000.0,44.44,Transitorio,En fresco,1081001,Manihot esculenta
68,Santander,68679,San Gil,Cereales,Cereales,Maíz,Maíz tradicional,2020,2020B,200.0,50.0,50.0,1.0,Transitorio,En fresco,1010497,Zea mays
68,Santander,68679,San Gil,Cereales,Cereales,Sorgo,Sorgo,2020,2020B,0.0,0.0,0.0,0.0,Transitorio,En fresco,1010700,Sorghum bicolor
68,Santander,68679,San Gil,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Tabaco,Tabaco,2020,2020B,40.0,30.0,30.0,1.0,Transitorio,En fresco,1030700,Nicotiana tabacum
68,Santander,68679,San Gil,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2020,2020B,11.0,6.0,6.0,1.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
68,Santander,68679,San Gil,Hortalizas,Hortalizas,Otras hortalizas,Otras hortalizas,2020,2020B,11.0,11.0,60.0,5.45,Transitorio,En fresco,1059900,No aplica
68,Santander,68679,San Gil,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2020,2020B,10.0,8.0,8.0,1.0,Transitorio,En fresco,1081001,Manihot esculenta
68,Santander,68682,San Joaquín,Frutales,Cítricos,Otros cítricos,Otros cítricos,2020,2020,25.0,25.0,650.0,26.0,Permanente,En fresco,2049800,No aplica
68,Santander,68682,San Joaquín,Cereales,Cereales,Maíz,Maíz tradicional,2020,2020A,27.0,27.0,40.5,1.5,Transitorio,En fresco,1010497,Zea mays
68,Santander,68682,San Joaquín,Hortalizas,Hortalizas de tallo,Apio,Apio,2020,2020A,4.0,4.0,8.0,2.0,Transitorio,En fresco,1050600,Apium graveolens
68,Santander,68682,San Joaquín,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2020,2020A,4.0,4.0,440.0,110.0,Transitorio,En fresco,1052902,Lycopersicon esculentum
68,Santander,68682,San Joaquín,Hortalizas,Hortalizas,Otras hortalizas,Otras hortalizas,2020,2020A,4.0,3.0,8.0,2.67,Transitorio,En fresco,1059900,No aplica
68,Santander,68682,San Joaquín,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2020,2020A,3.0,1.0,8.0,8.0,Transitorio,En fresco,1080701,Solanum tuberosum
68,Santander,68682,San Joaquín,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2020,2020A,10.0,10.0,70.0,7.0,Transitorio,En fresco,1081001,Manihot esculenta
68,Santander,68682,San Joaquín,Cereales,Cereales,Maíz,Maíz tradicional,2020,2020B,5.0,5.0,7.5,1.5,Transitorio,En fresco,1010497,Zea mays
68,Santander,68682,San Joaquín,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2020,2020B,4.0,4.0,440.0,110.0,Transitorio,En fresco,1052902,Lycopersicon esculentum
68,Santander,68682,San Joaquín,Hortalizas,Hortalizas,Otras hortalizas,Otras hortalizas,2020,2020B,4.0,3.5,9.1,2.6,Transitorio,En fresco,1059900,No aplica
68,Santander,68682,San Joaquín,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2020,2020B,2.0,2.0,14.0,7.0,Transitorio,En fresco,1081001,Manihot esculenta
68,Santander,68684,San José de Miranda,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2020,2020,22.0,20.0,10.0,0.5,Permanente,En fresco,2040299,Persea americana
68,Santander,68684,San José de Miranda,Frutales,Demás frutales,Mango,Mango demás variedades,2020,2020,23.0,20.0,8.0,0.4,Permanente,En fresco,2044299,Mangifera indica
68,Santander,68684,San José de Miranda,Frutales,Cítricos,Otros cítricos,Otros cítricos,2020,2020,22.0,20.0,12.0,0.6,Permanente,En fresco,2049800,No aplica
