c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
52,Nariño,52019,Albán (San José),Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2019,2019,76.0,72.0,360.0,5.0,Permanente,En fresco,2040299,Persea americana
52,Nariño,52019,Albán (San José),Frutales,Pasifloráceas,Granadilla,Granadilla,2019,2019,2.0,1.5,1.8,1.2,Permanente,En fresco,2042800,Passiflora ligularis
52,Nariño,52019,Albán (San José),Frutales,Solanáceas,Lulo,Lulo,2019,2019,52.0,49.0,196.0,4.0,Permanente,En fresco,2043700,Solanum quitoense
52,Nariño,52019,Albán (San José),Frutales,Demás frutales,Plátano,Plátano consumo interno,2019,2019,815.0,805.0,2817.5,3.5,Permanente,En fresco,2045802,Musa x paradisiaca
52,Nariño,52019,Albán (San José),Frutales,Cítricos,Otros cítricos,Otros cítricos,2019,2019,833.0,829.0,1243.5,1.5,Permanente,En fresco,2049800,No aplica
52,Nariño,52019,Albán (San José),Cereales,Cereales,Maíz,Maíz tradicional,2019,2019A,45.2,43.5,65.25,1.5,Transitorio,En fresco,1010497,Zea mays
52,Nariño,52019,Albán (San José),Hortalizas,Hortalizas de fruto,Tomate,Tomate,2019,2019A,2.0,0.75,12.0,16.0,Transitorio,En fresco,1052901,Lycopersicon esculentum
52,Nariño,52019,Albán (San José),Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2019,2019A,89.0,89.0,8900.0,100.0,Transitorio,En fresco,1052902,Lycopersicon esculentum
52,Nariño,52019,Albán (San José),Leguminosas,Leguminosas,Maní,Maní,2019,2019A,2.0,1.5,1.88,1.25,Transitorio,En fresco,1060700,Arachis hypogaea
52,Nariño,52019,Albán (San José),Raíces y tubérculos,Raíces y tubérculos,Achira,Achira,2019,2019A,5.5,5.5,38.5,7.0,Transitorio,En fresco,1080100,Canna indica
