c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
25,Cundinamarca,25899,Zipaquirá,Frutales,Demás frutales,Arándano,Arándano,2021,2021,13.5,13.5,108.0,8.0,Permanente,En fresco,2040400,Vaccinium corymbosum
25,Cundinamarca,25899,Zipaquirá,Frutales,Caducifolios,Durazno o albaricoque,Durazno o albaricoque,2021,2021,11.5,11.5,172.5,15.0,Permanente,En fresco,2042400,Prunus persica L.
25,Cundinamarca,25899,Zipaquirá,Frutales,Demás frutales,Fresa,Fresa,2021,2021,12.0,10.0,600.0,60.0,Permanente,En fresco,2042700,Fragaria vesca
25,Cundinamarca,25899,Zipaquirá,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2021,2021A,10.0,10.0,250.0,25.0,Transitorio,En fresco,1053000,Daucus carota
25,Cundinamarca,25899,Zipaquirá,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2021,2021A,1600.1,1600.0,39200.0,24.5,Transitorio,En fresco,1080701,Solanum tuberosum
25,Cundinamarca,25899,Zipaquirá,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa criolla,2021,2021A,150.0,150.0,3000.0,20.0,Transitorio,En fresco,1080702,Solanum phureja
25,Cundinamarca,25899,Zipaquirá,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2021,2021B,5.0,5.0,110.0,22.0,Transitorio,En fresco,1053000,Daucus carota
25,Cundinamarca,25899,Zipaquirá,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2021,2021B,1900.0,1900.0,47500.0,25.0,Transitorio,En fresco,1080701,Solanum tuberosum
25,Cundinamarca,25899,Zipaquirá,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa criolla,2021,2021B,180.0,180.0,3240.0,18.0,Transitorio,En fresco,1080702,Solanum phureja
27,Chocó,27001,Quibdó,"Cultivos para condimentos, bebidas medicinales y aromáticas","Cultivos para condimentos, bebidas medicinales y aromáticas","Otros cultivos para condimentos, bebidas medicinales y aromáticas","Otros cultivos para condimentos, bebidas medicinales y aromáticas",2021,2021,15.0,10.0,50.0,5.0,Permanente,En fresco,2029900,No aplica
27,Chocó,27001,Quibdó,Frutales,Demás frutales,Banano,Banano consumo interno,2021,2021,868.0,800.0,4000.0,5.0,Permanente,En fresco,2040902,Musa acuminata
27,Chocó,27001,Quibdó,Frutales,Demás frutales,Borojó,Borojó,2021,2021,149.0,143.0,715.0,5.0,Permanente,En fresco,2041000,Borojoa patinoi
27,Chocó,27001,Quibdó,Frutales,Aráceas,Chontaduro,Chontaduro,2021,2021,15.0,13.0,91.0,7.0,Permanente,En fresco,2041600,Bactris gasipaes
27,Chocó,27001,Quibdó,Frutales,Aráceas,Coco,Coco,2021,2021,11.0,8.0,72.0,9.0,Permanente,En fresco,2041900,Cocos nucifera
27,Chocó,27001,Quibdó,Frutales,Solanáceas,Lulo,Lulo,2021,2021,43.0,43.0,344.0,8.0,Permanente,En fresco,2043700,Solanum quitoense
27,Chocó,27001,Quibdó,Frutales,Demás frutales,Piña,"Piña Cayena, Gold, Manzana y/o Perolera",2021,2021,35.0,35.0,210.0,6.0,Permanente,En fresco,2045601,Ananas comosus
27,Chocó,27001,Quibdó,Frutales,Demás frutales,Plátano,Plátano consumo interno,2021,2021,3102.0,2985.0,20895.0,7.0,Permanente,En fresco,2045802,Musa x paradisiaca
27,Chocó,27001,Quibdó,Raíces y tubérculos,Raíces y tubérculos,"Malanga, achín, yota, papa china, bore","Malanga, achín, yota, papa china, bore",2021,2021A,150.0,147.0,1176.0,8.0,Transitorio,En fresco,1080400,Colocasia esculenta
27,Chocó,27001,Quibdó,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2021,2021A,520.0,510.0,3060.0,6.0,Transitorio,En fresco,1081001,Manihot esculenta
27,Chocó,27001,Quibdó,Raíces y tubérculos,Raíces y tubérculos,"Malanga, achín, yota, papa china, bore","Malanga, achín, yota, papa china, bore",2021,2021B,74.0,70.0,560.0,8.0,Transitorio,En fresco,1080400,Colocasia esculenta
27,Chocó,27001,Quibdó,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2021,2021B,490.0,450.0,2700.0,6.0,Transitorio,En fresco,1081001,Manihot esculenta
27,Chocó,27006,Acandí,Frutales,Aráceas,Coco,Coco,2021,2021,135.0,125.0,1125.0,9.0,Permanente,En fresco,2041900,Cocos nucifera
27,Chocó,27006,Acandí,Frutales,Demás frutales,Plátano,Plátano consumo interno,2021,2021,53.0,48.0,432.0,9.0,Permanente,En fresco,2045802,Musa x paradisiaca
27,Chocó,27006,Acandí,Hortalizas,Hortalizas de fruto,Ají,Ají,2021,2021A,8.0,8.0,56.0,7.0,Transitorio,En fresco,1050300,Capsicum L.
27,Chocó,27006,Acandí,Raíces y tubérculos,Raíces y tubérculos,Ñame,Ñame demás variedades,2021,2021A,60.0,60.0,1380.0,23.0,Transitorio,En fresco,1080699,Dioscorea sp.
27,Chocó,27006,Acandí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2021,2021A,80.0,80.0,1200.0,15.0,Transitorio,En fresco,1081001,Manihot esculenta
27,Chocó,27006,Acandí,Hortalizas,Hortalizas de fruto,Ají,Ají,2021,2021B,8.0,8.0,56.0,7.0,Transitorio,En fresco,1050300,Capsicum L.
27,Chocó,27025,Alto Baudó (Pie de Pato),Frutales,Demás frutales,Banano,Banano consumo interno,2021,2021,131.0,85.0,1955.0,23.0,Permanente,En fresco,2040902,Musa acuminata
27,Chocó,27025,Alto Baudó (Pie de Pato),Frutales,Demás frutales,Borojó,Borojó,2021,2021,45.0,40.0,240.0,6.0,Permanente,En fresco,2041000,Borojoa patinoi
27,Chocó,27025,Alto Baudó (Pie de Pato),Frutales,Aráceas,Chontaduro,Chontaduro,2021,2021,36.0,19.0,26.6,1.4,Permanente,En fresco,2041600,Bactris gasipaes
27,Chocó,27025,Alto Baudó (Pie de Pato),Frutales,Demás frutales,Piña,Piña demás variedades,2021,2021,41.0,35.0,525.0,15.0,Permanente,En fresco,2045699,Ananas comosus
27,Chocó,27025,Alto Baudó (Pie de Pato),Frutales,Demás frutales,Plátano,Plátano consumo interno,2021,2021,325.0,255.0,1275.0,5.0,Permanente,En fresco,2045802,Musa x paradisiaca
27,Chocó,27025,Alto Baudó (Pie de Pato),Raíces y tubérculos,Raíces y tubérculos,Ñame,Ñame demás variedades,2021,2021A,10.0,9.0,72.0,8.0,Transitorio,En fresco,1080699,Dioscorea sp.
27,Chocó,27025,Alto Baudó (Pie de Pato),Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2021,2021A,10.0,10.0,80.0,8.0,Transitorio,En fresco,1081001,Manihot esculenta
27,Chocó,27025,Alto Baudó (Pie de Pato),Raíces y tubérculos,Raíces y tubérculos,Ñame,Ñame demás variedades,2021,2021B,12.0,11.0,20.0,1.82,Transitorio,En fresco,1080699,Dioscorea sp.
